stamp_sec,x_m,y_m,yaw_rad
69.13,-6.241456664260621,7.927129399681208,-2.1339279551662877
69.19,-6.2404409372031875,7.927129398843106,-2.101793621880272
69.25,-6.23925952347393,7.927129397984481,-2.0688435712889
69.29,-6.23837953867322,7.927129397401043,-2.04640810065358
69.33,-6.23742541226575,7.927129396809098,-2.0235855970468783
69.37,-6.236396927524343,7.9271293962089615,-2.000364797324625
69.43,-6.239131463970706,7.918235329959931,-1.9696343295403778
69.49,-6.24979298768841,7.895346096259818,-1.9480534126261204
69.53,-6.256980615774101,7.8794333286459075,-1.9338009880172704
69.57,-6.264085859529716,7.863040042921954,-1.9199150099397453
69.595,-6.267610470757445,7.85472144464854,-1.9129186051075295
69.65,-6.278071888489496,7.8292688664547665,-1.8917277117184592
69.69,-6.284957862626587,7.812003041765594,-1.8770469732720978
69.73,-6.291762793461556,7.79427441492724,-1.8626177044471501
69.77,-6.298489422258726,7.776138021455346,-1.8482545749498118
69.795,-6.301824138237723,7.766933075124919,-1.8410436052636756
69.85,-6.311712041325064,7.738727154007224,-1.8194094190471248
69.91,-6.320627868397571,7.712046643157632,-1.7996892354360896
69.945,-6.3270239937205055,7.691944258469338,-1.7860062214999182
69.99,-6.333346640999093,7.6712619441705705,-1.7728380765860254
70.045,-6.34269258483584,7.639078104794793,-1.7542329152428073
70.085,-6.348832891710117,7.616953141864057,-1.7422642036647749
70.145,-6.357909204736259,7.582916592302245,-1.7244732965142562
70.225,-6.369762437572872,7.536185804576231,-1.7003129053725432
70.285,-6.378464817160561,7.499933340731715,-1.6823635434544788
70.31,-6.381329873150403,7.487606501080949,-1.6764428280871442
70.39,-6.392612464828877,7.437232797035962,-1.652617390684392
70.445,-6.400888259542233,7.39840155992439,-1.6343714387793344
70.51,-6.409004399466735,7.358670197747149,-1.6157536836297353
70.545,-6.414325782858677,7.331476206241218,-1.6036747034536298
70.585,-6.419576369249221,7.303884819513303,-1.5913979666132685
70.645,-6.427219014906912,7.2616760276672325,-1.5725614576408486
70.71,-6.434290868887807,7.218271259158921,-1.553083850517269
70.745,-6.438373304150122,7.188858240198399,-1.5404632339495774
70.785,-6.44175991646841,7.159402075466952,-1.5286768374939366
70.85,-6.445407490819639,7.11508568358511,-1.5130756802962184
70.915,-6.447481147648045,7.070638199939603,-1.499867740281536
70.97,-6.448563051041443,7.02245068860108,-1.4869135074606585
71.085,-6.446642076431916,6.9369623601361985,-1.4706147672581962
71.115,-6.445922293027186,6.9220770065558535,-1.4684607424208838
71.165,-6.4432211445846725,6.877407487887933,-1.4629825993520207
71.225,-6.439768599362827,6.832727572909914,-1.4589429291153269
71.285,-6.435452628239997,6.788030426011333,-1.4568372485406629
71.31,-6.433848766258226,6.773128798988088,-1.4565152220601063
71.365,-6.428789998515779,6.728423524591048,-1.4564545518773653
71.425,-6.423787114472889,6.683717984008711,-1.4575223800146544
71.445,-6.422153868533547,6.668816451957143,-1.458253922834491
71.51,-6.417356877643771,6.624119148097255,-1.4613625040842728
71.545,-6.4142444443197455,6.594324883711854,-1.4642117523451244
71.585,-6.411200247512493,6.5645341856172035,-1.4674526983550982
71.65,-6.406760709808564,6.519830116405736,-1.472444926332139
71.685,-6.403886736766967,6.490034881294178,-1.476626100073765
71.745,-6.399703217880708,6.445339800888741,-1.4832768144136073
71.805,-6.395672799963393,6.40063980151666,-1.4905319208613872
71.825,-6.394363321990731,6.38573747381253,-1.4930495867288454
71.885,-6.3905367859674875,6.341020133903375,-1.500811512922178
71.905,-6.389295205306597,6.326109760024359,-1.5034341195273342
71.97,-6.385672200135392,6.281363700804613,-1.5113506580641718
72.005,-6.383341616628272,6.251520373952687,-1.5166415078326927
72.055,-6.380523672789202,6.21420151070655,-1.5232200420840392
72.135,-6.376234869781369,6.154452880157097,-1.5334369437958009
72.195,-6.373195722241789,6.10961197130011,-1.5407733008101527
72.23,-6.371493015640064,6.08344255204085,-1.5448583706255359
72.27,-6.3696102895749345,6.05352433114509,-1.5493366827640533
72.33,-6.366912470883946,6.008626428295393,-1.555587517727082
72.39,-6.364392414111675,5.963703184548188,-1.561114602546422
72.41,-6.3636068936673595,5.948724698060949,-1.5628289402912798
72.49,-6.360960400768247,5.888793601703375,-1.5690192350031946
72.55,-6.3594350102747494,5.843831574137572,-1.5730457151849089
72.61,-6.358332420433657,5.7988587829695595,-1.576410245307809
72.65,-6.357840327226214,5.768871135850382,-1.5782268665439758
72.69,-6.357520665801486,5.738880374400938,-1.5797366795867382
72.73,-6.357402308600767,5.708886445627429,-1.5808435902822773
72.79,-6.357626546341525,5.66389056549296,-1.5816005675051557
72.81,-6.357769842188702,5.648891544435503,-1.5817165012887513
72.87,-6.358245329256071,5.603894284721747,-1.5816911808619702
72.93,-6.3586250397211295,5.558897550421983,-1.5811132625135222
73.03,-6.3589180715109315,5.483908352699946,-1.5788054569084753
73.07,-6.358916743303306,5.453914106959942,-1.5776289809653943
73.13,-6.358787164234254,5.4089274472240865,-1.575253914860632
73.19,-6.358504876874944,5.363946709318908,-1.5723905577391437
73.21,-6.358410474085481,5.3527023273901815,-1.5716164890950983
73.29,-6.357746170397066,5.292736677241851,-1.5672002731242225
73.345,-6.357070427452056,5.247765873118584,-1.5637179615984618
73.385,-6.356535430517983,5.217787015347825,-1.5613360629226358
73.445,-6.3556062724358835,5.172820740348285,-1.5577309659033773
73.465,-6.35526278759324,5.157832487597974,-1.5565277251117637
73.545,-6.353720096542803,5.097881770574524,-1.551753764007207
73.585,-6.352847499853468,5.067908087722175,-1.549388903839427
73.645,-6.3514122362469365,5.022948105587546,-1.5459875814707629
73.69,-6.350371167499597,4.9929751823074495,-1.5438246894526402
73.725,-6.349262741581581,4.963002575525621,-1.541756871361685
73.745,-6.348683275381186,4.948016365375162,-1.5407609328586795
73.81,-6.3468439997390025,4.9030572291346415,-1.5380004762098776
73.865,-6.344853233885807,4.8580991975646555,-1.535466565491169
73.885,-6.34415607681834,4.84311277877072,-1.5347265726005959
73.985,-6.340418270110202,4.768180346467708,-1.5316272836692653
74.01,-6.339631631391242,4.753194060377749,-1.5311016336295158
74.065,-6.3373368692013035,4.708234712099993,-1.5298188412238833
74.085,-6.336569109190133,4.693248610582843,-1.5294168012098899
74.185,-6.332967338044247,4.618317160046365,-1.5282165714354623
74.22,-6.3322717963057755,4.6033309825639535,-1.5280672974349583
74.265,-6.330287847711594,4.5583723085327215,-1.5279137474460813
74.305,-6.329003035674289,4.528399895570615,-1.5279307452538793
74.415,-6.325947097442773,4.453468488691624,-1.5283690192385264
74.445,-6.324793033820601,4.423495803213631,-1.5287427113664087
74.505,-6.323180942693854,4.378536447859033,-1.5295338324701289
74.545,-6.322170798693644,4.3485629569804365,-1.530120174963772
74.615,-6.320741637906682,4.303602504986823,-1.5312754750594817
74.665,-6.319449980700828,4.258640621232873,-1.532538232436983
74.705,-6.31865386570786,4.228665242341349,-1.5334531504462052
74.745,-6.317900409099876,4.1986890131278285,-1.5343961284608865
74.785,-6.317189177440895,4.168712195203996,-1.5354031048161916
74.845,-6.316214388832899,4.123745245451135,-1.536957847788703
74.87,-6.315907183720615,4.108755769111664,-1.5374818340857768
74.985,-6.314235571922296,4.01881356815915,-1.540637483420455
75.045,-6.313490427828187,3.973838886005198,-1.5421747413542872
75.065,-6.3132535498788815,3.9588468029621966,-1.5426769908075595
75.105,-6.3127884813869795,3.9288617545087754,-1.5436458697251905
75.145,-6.3123405111412385,3.8988757028413747,-1.5445837409186947
75.205,-6.311687091351965,3.8538946998644947,-1.5459033448792143
75.27,-6.311035872515811,3.8089114079690436,-1.5470793119924426
75.325,-6.31039296297187,3.7639262937551634,-1.5481429841829226
75.365,-6.309973146447037,3.733935399950404,-1.5488070938535927
75.405,-6.30954797921796,3.7039437867568266,-1.5494065001198298
75.47,-6.308889093165844,3.6589551481973928,-1.5501672665855262
75.52,-6.30829192134734,3.617714757669423,-1.5508065130429416
75.545,-6.308081347711017,3.602718120251511,-1.5510390515169754
75.605,-6.307420833204818,3.557727477041928,-1.5516077069379905
75.68,-6.306422893420583,3.4977385647176464,-1.5519814699990573
75.735,-6.305705402665467,3.4564958673597665,-1.5521281144889343
75.775,-6.305166115479974,3.426501091066234,-1.5521804047230798
75.835,-6.304321026197428,3.3815089034821133,-1.5521448286607056
75.895,-6.303414364566837,3.336516879879169,-1.5519612595508985
75.915,-6.30309956523344,3.321519601047481,-1.5518771394087418
76.0,-6.301768547257206,3.2615310478657893,-1.5513787745396157
76.035,-6.301070049439344,3.231537104625123,-1.5510791967458804
76.095,-6.29997823029988,3.1865467137295362,-1.5505595103042755
76.155,-6.298831212152805,3.1415570401166173,-1.5499618042511323
76.195,-6.298038792348311,3.1115643345791293,-1.549533594706103
76.235,-6.297227853130384,3.0815719632606813,-1.5490876768050552
76.295,-6.295962108391738,3.0365841732226913,-1.5483610290898253
76.315,-6.2955292677053745,3.0215884398862363,-1.5481098018009645
76.335,-6.295092141819923,3.006592797247121,-1.5478571851263516
76.435,-6.292838286319013,2.931616034469054,-1.5465661204094416
76.46,-6.292375644296735,2.9166209627587816,-1.5463072368817956
76.51,-6.291204611552873,2.879133676251789,-1.5456665798898765
76.54,-6.290373641030275,2.8528929027229055,-1.5452257992853224
76.62,-6.288448852937156,2.79291492676789,-1.5442634145049257
76.68,-6.286987768908688,2.7479322430313173,-1.5435923319589773
76.71,-6.286376725905074,2.729189639590924,-1.5433297948290232
76.745,-6.285403665156069,2.6992016302393833,-1.5429477176057529
76.825,-6.28344661597259,2.6392263821596234,-1.5422423781728485
76.91,-6.2814900809801735,2.57925201088115,-1.5416431774796857
76.965,-6.280024709338388,2.534271736605506,-1.5412571180134806
76.99,-6.279534531474264,2.519278413151512,-1.5411339018997103
77.085,-6.277134225766,2.44431217142264,-1.5407108033620829
77.11,-6.276657114585225,2.4293190064914354,-1.5406431980592878
77.165,-6.275245458932867,2.3843396039342415,-1.5405055282440288
77.225,-6.273856235635257,2.339360320567459,-1.5404405849996972
77.285,-6.272499597892333,2.2943810493778365,-1.540466958842756
77.31,-6.272052532871992,2.27938794783061,-1.5404874107859943
77.365,-6.270724364922648,2.2344085854737203,-1.5405776986174946
77.455,-6.26899656908385,2.174435902190166,-1.540792547043814
77.485,-6.268144257127863,2.1444494111028027,-1.5409147204727665
77.515,-6.267719477445441,2.129456124454888,-1.5409758119058221
77.565,-6.266476087984987,2.0844761354437678,-1.5412262730202493
77.605,-6.265662830792616,2.0544893081853384,-1.5414151705036245
77.645,-6.264858541113339,2.0245023231216255,-1.5416125196959132
77.715,-6.263677352417329,1.9795215613959163,-1.5419454954730445
77.745,-6.262902411718477,1.9495341557826644,-1.542177255542637
77.805,-6.2617575518567214,1.9045526896146276,-1.5425363873556617
77.825,-6.261380808060309,1.8895587705407193,-1.5426594020406033
77.885,-6.260262338068161,1.844576704033845,-1.5430301243113405
77.915,-6.259893158345928,1.8295825783039612,-1.543153531576776
77.965,-6.258795987948101,1.784599891974925,-1.543521847486198
78.02,-6.257801123598503,1.7433653522901336,-1.5438500490909595
78.1,-6.256366009713078,1.6833871601534398,-1.5442972491009264
78.16,-6.255301874175995,1.63840303423282,-1.5446190565271654
78.2,-6.254595361454356,1.6084133916647354,-1.5448205696439856
78.275,-6.253276165821669,1.5521823649585051,-1.5451712843651495
78.335,-6.252222729023373,1.5071971545026681,-1.5454208841228552
78.395,-6.2511681367892535,1.462211641034539,-1.5456395440723472
78.415,-6.250815594251975,1.4472164081085626,-1.545704125114983
78.455,-6.250108823632058,1.4172258632867212,-1.5458216482543492
78.535,-6.248692345616416,1.357244498966165,-1.54602255141475
78.595,-6.247625855944525,1.3122582790405786,-1.5461434704914878
78.615,-6.247269759370591,1.2972628408852034,-1.5461790702099878
78.695,-6.245828534679596,1.2372809657401886,-1.5462661994754423
78.735,-6.245097818160518,1.2072899852563581,-1.5462790373435948
78.795,-6.243988532194715,1.1623035144214207,-1.5462632390404065
78.87,-6.24258272483884,1.1060704861573945,-1.546197984592066
78.89,-6.242202981611589,1.0910750340873985,-1.5461697841205575
78.95,-6.241053736574379,1.046088756522768,-1.5460661365008905
79.01,-6.239888838676919,1.001102625274235,-1.5459350344274536
79.07,-6.238712052403454,0.9561166581943108,-1.5457888432290223
79.13,-6.23752038930621,0.9111308819428252,-1.54562174695793
79.19,-6.236314326124086,0.8661453200525541,-1.545437525388356
79.21,-6.235909828360041,0.851150181288759,-1.545374478007394
79.23,-6.235504386844653,0.8361550665562386,-1.5453114338131926
79.33,-6.2334564002490005,0.7611798835277117,-1.5449800203590904
79.35,-6.233043571810725,0.7461849247560782,-1.5449131280872865
79.41,-6.231799199249197,0.7012002039785651,-1.544712770414388
79.45,-6.230964620188518,0.6712105206018251,-1.5445792174860908
79.53,-6.229286736206667,0.6112314560789285,-1.5443202618076777
79.59,-6.228020986882523,0.5662474175980036,-1.544133297530501
79.61,-6.227598107663827,0.5512527851176642,-1.5440733096053123
79.67,-6.226329062018635,0.5062690155216822,-1.543905976977866
79.73,-6.225059234223366,0.46128542650529786,-1.543755656177695
79.75,-6.22463567501868,0.4462909338948908,-1.5437086554206285
79.815,-6.2234730889328045,0.40505616139232736,-1.5435942018738866
79.865,-6.222203317451951,0.3600729083919978,-1.5434791059137334
