sim_s,motion_class,gt_map_x_m,gt_map_y_m,baseline_x_m,baseline_y_m,baseline_error_m,map_odom_filtered_x_m,map_odom_filtered_y_m,map_odom_filtered_yaw_rad,candidate_x_m,candidate_y_m,candidate_error_m
54.54,straight,3.747445584969526,1.621395038438296e-05,3.7434122245596333,-0.030878335004665514,0.031156719200391834,0.011505118358361283,-0.28890541105360107,0.06693419644810127,3.750764401002969,-0.03825001875810333,0.03840988291525986
54.56,straight,3.7444455234320486,1.6203893557234695e-05,3.7404141509833138,-0.03093959843295598,0.03121720137197727,0.01136480730981477,-0.28808919687911233,0.0667421459312116,3.747679384754459,-0.038351527858922874,0.03850377512508161
54.58,straight,3.741445462532738,1.6193841840526358e-05,3.7374135662653485,-0.031001376931965585,0.031278521132225234,0.011226324268791055,-0.28728267469963004,0.06655267803587368,3.744593942816461,-0.0384522758400779,0.03859709947347947
54.6,straight,3.738445402262869,1.6183795008582807e-05,3.725887953051393,-0.0222489095200536,0.025562157792862854,0.011089620477488219,-0.28648552799580396,0.0663657075986976,3.741512042813042,-0.03855312311839745,0.038691028934941474
54.62,straight,3.735445342614682,1.6173752677110735e-05,3.738925798885572,-0.02780720003176979,0.028040215844437166,0.01082454573414648,-0.28547824658200405,0.06615718941877653,3.73830419723122,-0.03852231087090988,0.03864437665173231
54.64,straight,3.7324452835815833,1.616371478001231e-05,3.7378116580338907,-0.028548715323505745,0.02906458823438368,0.01081289803861733,-0.2845780107829351,0.0659513229149082,3.7353500250770235,-0.03858746607554711,0.03871275960383041
54.66,straight,3.72944522515499,1.6153680276554536e-05,3.734810582538067,-0.028567541328590813,0.02908289325717251,0.010801310245226263,-0.2836875697131584,0.06574809033342179,3.7323968655427344,-0.0386527968359332,0.038781437763492514
54.68,straight,3.7264451673317325,1.61436499354652e-05,3.7318100664355844,-0.028583995660653148,0.029098970960836187,0.010789729752915199,-0.2828060942955088,0.06554726919852549,3.7294411230265663,-0.03871599828021383,0.03884783866603953
54.7,straight,3.7234451101062405,1.6133624308523023e-05,3.7288093526384034,-0.028599055971049527,0.029113642395312778,0.010778302908279387,-0.2819356286893391,0.06534941382972262,3.7264838973955263,-0.03877581454873676,0.03891078862281972
54.72,straight,3.720445053471252,1.612360307797827e-05,3.7248446057813447,-0.01045834838508563,0.011360925312669964,0.010766968732289375,-0.28107482314993854,0.06515415797954989,3.7235261779741946,-0.03883494867255646,0.038973056656736636
